Date,Lo-3Prior,7-Hi Prior,ValueLo30,ValueMed40,ValueHi30,SizeLo30,SizeMed40,SizeHi30,Mkt_RF,SMB,HML,RF,WML,Mkt,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Big_Small_Hi_Lo_Spread
8/31/1932,0.79,0.25,0.3141,0.5119,0.6704,0.8287,0.5635,0.3533,0.3706,0.1429,0.3303,0.0003,-0.5226,0.3709,0.922,0.6841,0.4106,0.7619,0.4503,0.228,-0.52265
9/30/1932,-0.06,-0.03,-0.0105,-0.0641,-0.0677,-0.1246,-0.0584,-0.0255,-0.0294,-0.0243,-0.0682,0.0003,0.0244,-0.0291,-0.1077,-0.0612,-0.0776,-0.0528,-0.014,-0.0342,0.02435
10/31/1932,-0.20,-0.10,-0.1078,-0.1763,-0.2337,-0.2051,-0.1984,-0.1254,-0.1317,-0.0276,-0.1004,0.0002,0.0429,-0.1315,-0.1597,-0.1689,-0.1765,-0.2032,-0.1101,-0.1006,0.0429
11/30/1932,-0.10,-0.10,-0.0271,-0.0889,-0.1568,-0.1045,-0.0861,-0.056,-0.0588,0.0208,-0.1328,0.0002,-0.0209,-0.0586,-0.0655,-0.0934,-0.0888,-0.0911,-0.0349,-0.1095,-0.02085
12/31/1932,0.00,0.05,0.0679,0.0077,-0.0525,-0.1031,-0.0285,0.0506,0.044,-0.0827,-0.0816,0.0001,0.0526,0.0441,-0.1186,-0.08,-0.0194,0.0482,0.0446,0.0542,0.0526
1/31/1933,0.01,0.01,0.0001,0.0295,0.0858,0.0129,0.0238,0.0122,0.0125,0.0063,0.0614,0.0001,-0.0153,0.0126,0.0419,0.0769,0.0238,0.0156,0.015,0.0032,-0.01525
2/28/1933,-0.21,-0.15,-0.1496,-0.1667,-0.1811,-0.1962,-0.172,-0.1521,-0.1524,-0.0275,-0.0273,-0.0003,0.0419,-0.1527,-0.1769,-0.1959,-0.1579,-0.2058,-0.1622,-0.1411,0.04185
3/31/1933,0.04,0.04,0.0099,0.0968,0.0863,0.1341,0.1033,0.0274,0.0329,0.039,0.0738,0.0004,0.0235,0.0333,0.0934,0.1103,0.1442,0.0566,0.013,0.0528,0.0235
4/30/1933,0.58,0.31,0.338,0.5203,0.5729,0.5065,0.5386,0.3772,0.3885,0.0456,0.1743,0.001,-0.1595,0.3895,0.5746,0.4599,0.4927,0.5311,0.44,0.294,-0.1595
5/31/1933,0.32,0.21,0.1721,0.2845,0.4841,0.8387,0.4611,0.1881,0.2143,0.367,0.1903,0.0004,-0.0392,0.2147,0.7447,0.6991,0.6771,0.2069,0.204,0.1962,-0.03915
